type;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;pH;sulphates;alcohol;quality
white;8.4;0.17;0.31;6.7;0.038;29;132;3.1;0.32;10.6;7
white;6;0.18;0.31;1.4;0.036;14;75;3.34;0.58;11.1;8
white;8.6;0.36;0.26;11.1;0.03;43.5;171;3.03;0.49;12;5
white;6.9;0.4;0.17;12.9;0.033;59;186;3.08;0.49;9.4;5
red;6.8;0.785;0;2.4;0.104;14;30;3.52;0.55;10.7;6
red;10.8;0.29;0.42;1.6;0.084;19;27;3.28;0.73;11.9;6
white;7.1;0.21;0.32;2.2;0.037;28;141;3.2;0.57;10;7
white;6.1;0.17;0.21;1.9;0.09;44;130;3.07;0.41;9.7;5
white;9.2;0.28;0.46;3.2;0.058;39;133;3.14;0.58;9.5;5
red;11.5;0.59;0.59;2.6;0.087;13;49;3.18;0.65;11;6
red;8.2;0.32;0.42;2.3;0.098;3;9;3.27;0.55;12.3;6
white;6.4;0.25;0.32;5.5;0.049;41;176;3.19;0.68;9.2;6
white;6.7;0.18;0.25;14.3;0.048;79;149;3.12;0.37;9.7;5
white;6.6;0.38;0.18;1.2;0.042;20;84;3.22;0.45;10.1;4
white;6.4;0.17;0.34;1.5;0.091;42;135;3.25;0.49;9.6;7
red;6.2;0.39;0.43;2;0.071;14;24;3.45;0.87;11.2;7
white;6.7;0.18;0.3;6.4;0.048;40;251;3.29;0.52;10;5
white;7.3;0.23;0.41;14.6;0.048;73;223;3.16;0.71;9.4;6
red;7.4;0.965;0;2.2;0.088;16;32;3.58;0.67;10.2;5
white;6.3;0.2;0.24;1.7;0.052;36;135;3.8;0.66;10.8;6
white;6.2;0.25;0.48;10;0.044;78;240;3.25;0.47;9.5;6
red;9.4;0.33;0.59;2.8;0.079;9;30;3.12;0.54;12;6
white;6.8;0.25;0.3;11.8;0.043;53;133;3.03;0.58;10.4;6
white;6.5;0.23;0.39;1.9;0.036;41;98;3.19;0.43;11.9;7
white;6.3;0.27;0.49;1.2;0.063;35;92;3.38;0.42;12.2;6
white;6.9;0.4;0.3;10.6;0.033;24;87;3.15;0.45;12.8;6
white;7.8;0.49;0.49;7;0.043;29;149;3.21;0.33;10;5
white;5.8;0.36;0.26;3.3;0.038;40;153;3.34;0.55;11.3;6
white;7.6;0.28;0.49;20.15;0.06;30;145;3.01;0.44;8.5;5
red;11.4;0.36;0.69;2.1;0.09;6;21;3.17;0.62;9.2;6
white;5.5;0.31;0.29;3;0.027;16;102;3.23;0.56;11.2;6
white;5.9;0.26;0.29;5.4;0.046;34;116;3.24;0.41;11.4;6
red;6.8;0.65;0.02;2.1;0.078;8;15;3.35;0.62;10.4;6
white;6.4;0.34;0.2;14.9;0.06;37;162;3.13;0.45;9;4
red;10;0.56;0.24;2.2;0.079;19;58;3.18;0.56;10.1;6
white;7.5;0.21;0.34;1.2;0.06;26;111;3.51;0.47;10.7;6
white;5.8;0.36;0.26;3.3;0.038;40;153;3.34;0.55;11.3;6
white;8;0.26;0.28;4.8;0.05;34;150;3.13;0.5;10;6
white;6.8;0.17;0.32;1.4;0.04;35;106;3.16;0.66;12;5
white;6.6;0.325;0.49;7.7;0.049;53;217;3.16;0.4;9.3;5
white;5.7;0.15;0.47;11.4;0.035;49;128;3.03;0.34;10.5;8
red;11.3;0.37;0.5;1.8;0.09;20;47;3.15;0.57;10.5;5
white;6.6;0.17;0.26;7.4;0.052;45;128;3.16;0.37;10;6
red;12;0.37;0.76;4.2;0.066;7;38;3.22;0.6;13;7
white;6.7;0.18;0.28;10.2;0.039;29;115;3.11;0.45;10.9;7
white;7.4;0.19;0.31;14.5;0.045;39;193;3.1;0.5;9.2;6
white;6.2;0.26;0.32;15.3;0.031;64;185;3.31;0.61;9.4;5
white;7.8;0.25;0.37;1;0.043;10;80;3.08;0.38;11.4;5
white;6.6;0.56;0.15;10;0.037;38;157;3.28;0.52;9.4;5
red;8.9;0.35;0.4;3.6;0.11;12;24;3.23;0.7;12;7
red;8.7;0.765;0.22;2.3;0.064;9;42;3.1;0.55;9.4;5
white;7.6;0.31;0.27;5.8;0.036;23;109;3.34;0.54;11;6
white;5.7;0.31;0.29;7.3;0.05;33;143;3.31;0.5;11;6
white;7.8;0.3;0.29;16.85;0.054;23;135;3.16;0.38;9;6
white;6.6;0.24;0.27;10.3;0.047;54;219;3.04;0.45;8.8;5
white;6.7;0.36;0.28;8.3;0.034;29;81;2.96;0.39;12.5;6
red;8.4;0.745;0.11;1.9;0.09;16;63;3.19;0.82;9.6;5
white;7.3;0.19;0.27;13.9;0.057;45;155;2.94;0.41;8.8;8
white;7;0.28;0.33;14.6;0.043;47;168;3.34;0.67;8.8;6
white;6;0.45;0.42;1.1;0.051;61;197;3.02;0.4;9;5
white;6.8;0.28;0.39;1.4;0.036;15;115;3.27;0.72;11.7;5
white;6.3;0.6;0.44;11;0.05;50;245;3.19;0.57;9.3;4
red;9.8;0.45;0.38;2.5;0.081;34;66;3.15;0.58;9.8;5
white;7.1;0.33;0.64;13.2;0.056;12;105;3.05;0.39;9.2;5
white;8.3;0.49;0.23;6.65;0.034;6;158;3.05;0.48;11.2;5
white;7.1;0.26;0.49;2.2;0.032;31;113;3.37;0.42;12.9;9
white;6.7;0.18;0.24;10.3;0.057;64;185;3.12;0.5;10.6;6
white;9.1;0.27;0.32;1.1;0.031;15;151;3.03;0.41;10.6;5
white;6.6;0.32;0.26;7.7;0.054;56;209;3.17;0.45;8.8;5
white;6.8;0.41;0.3;8.8;0.045;28;131;3.12;0.59;9.9;5
red;8.4;0.62;0.09;2.2;0.084;11;108;3.15;0.66;9.8;5
white;7.6;0.25;0.34;1.3;0.056;34;176;3.1;0.51;9.5;5
white;9.5;0.42;0.41;2.3;0.034;22;145;3.06;0.52;11;6
white;8;0.42;0.36;5;0.037;34;101;3.13;0.57;12.3;7
white;8;0.14;0.33;1.2;0.045;71;162;3.07;0.47;11;6
white;6.6;0.62;0.2;8.7;0.046;81;224;3.17;0.44;9.3;5
white;7.6;0.19;0.32;18.75;0.047;32;193;3.1;0.5;9.3;7
white;7.9;0.18;0.49;5.2;0.051;36;157;3.18;0.48;10.6;6
white;6.6;0.4;0.32;1.7;0.035;39;84;3.59;0.48;12.7;7
red;7;0.69;0.07;2.5;0.091;15;21;3.38;0.6;11.3;6
red;8.4;0.665;0.61;2;0.112;13;95;3.16;0.54;9.1;5
white;7.8;0.27;0.28;1.8;0.05;21;127;3.15;0.44;9.9;5
white;7.7;0.29;0.29;4.8;0.06;27;156;3.49;0.59;10.3;6
white;6.7;0.35;0.48;8.8;0.056;35;167;3.04;0.47;9.4;5
white;6.3;0.27;0.23;2.9;0.047;13;100;3.28;0.43;9.8;5
white;6.8;0.21;0.36;18.1;0.046;32;133;3.27;0.48;8.8;5
red;8.3;0.43;0.3;3.4;0.079;7;34;3.36;0.61;10.5;5
red;8.9;0.635;0.37;1.7;0.263;5;62;3;1.09;9.3;5
white;5.6;0.18;0.29;2.3;0.04;5;47;3.07;0.45;10.1;4
white;7.1;0.33;0.3;3.3;0.034;30;102;3.08;0.31;12.3;7
white;6.3;0.17;0.32;1;0.04;39;118;3.31;0.4;13.1;8
white;5.4;0.53;0.16;2.7;0.036;34;128;3.2;0.53;13.2;8
white;7.6;0.15;0.4;1.3;0.036;24;112;3.14;0.76;10;5
white;6.4;0.27;0.45;8.3;0.05;52;196;3.18;0.48;9.5;5
white;6.5;0.26;0.31;3.6;0.03;36;92;3.22;0.62;12.6;8
white;6.9;0.28;0.22;10;0.052;36;131;3.08;0.46;9.6;5
white;7.6;0.39;0.32;3.6;0.035;22;93;3.08;0.6;12.5;7
white;7.5;0.17;0.32;1.7;0.04;51;148;3.21;0.44;11.5;7
white;6.4;0.23;0.27;2.1;0.042;35;100;3.03;0.63;10.9;6
white;6.3;0.23;0.49;7.1;0.05;67;210;3.23;0.34;9.5;5
